id,latitude,longitude,depth,mag
pde20120811123435900_12,38.389,46.745,12,6.2
pde20120811122318190_11,38.329,46.826,11,6.4
pde20120810183743090_13,52.633,-167.421,13,6.2
pde20120802095641740_46,-4.654,153.275,46,6.1
pde20120802093830850_144,-8.414,-74.259,144.6,6.1
pde20120728200356800_41,-4.651,153.173,41,6.5
pde20120726053333020_20,-17.592,66.391,20,6.7
pde20120725112027030_20,-9.694,159.727,20,6.4
pde20120725002745260_22,2.707,96.045,22,6.4
pde20120720061025170_19,49.407,155.907,19,6
pde20120708113302920_20,45.497,151.288,20,6
pde20120706022822190_160,-14.657,167.34,160.1,6.3
pde20120703103615520_229,-40.023,173.756,229.8,6.3
pde20120629210733860_18,43.433,84.7,18,6.3
pde20120624031501280_10,57.601,163.195,10,6
pde20120623043453180_95,3.009,97.896,95,6.1
pde20120619155632530_14,53.351,171.619,14,6
pde20120617203220590_36,38.919,141.831,36,6.3
pde20120610124416590_35,36.42,28.88,35,6
pde20120607160318900_110,-15.877,-72.413,110,6.1
pde20120607040504520_8,-36.074,-70.57,8,6
pde20120605193133750_15,34.943,141.132,15,6.1
pde20120604031524750_7,5.508,-82.563,7,6.3
pde20120604004515290_7,5.305,-82.629,7,6.3
pde20120528050723450_586,-28.043,-63.094,586.9,6.7
pde20120526214810120_487,26.91,140.055,487.4,6
pde20120524224746800_10,72.96,5.683,10,6.1
pde20120523225952700_10,-50.42,139.516,10,6
pde20120520072036870_11,39.646,143.164,11,6.3
pde20120520020352000_6,44.89,11.23,6.3,6
pde20120518020039490_10,-44.806,-80.159,10,6.3
pde20120514100040230_105,-17.678,-69.591,105.9,6.2
pde20120501224333340_14,14.376,-92.897,14,6
pde20120428100808090_134,-18.685,-174.705,134.7,6.6
pde20120423173621170_114,-28.556,-177.412,114,6
pde20120421012513200_17,-1.635,134.197,17.4,6
pde20120421011652740_16,-1.617,134.276,16,6.7
pde20120417190356370_12,-59.016,-16.612,12,6.2
